method,obj_id,n_results,ADD_mean,ADD_median,ADD_std,ADD_S_mean,ADD_S_median,ADD_S_std,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_std,translation_error_mean,translation_error_median,translation_error_std,inlier_ratio_mean,inlier_ratio_median,inlier_ratio_std,model_build_time_mean,model_build_time_median,model_build_time_std,registration_time_mean,registration_time_median,registration_time_std,total_time_mean,total_time_median,total_time_std,candidate_inflation_mean_mean,candidate_inflation_mean_median,candidate_inflation_mean_std,kde_refine_calls_mean,kde_refine_calls_median,kde_refine_calls_std,ADD_S_lt_2_count,ADD_S_lt_2_rate,ADD_S_lt_5_count,ADD_S_lt_5_rate,ADD_S_lt_10_count,ADD_S_lt_10_rate,ADD_S_lt_20_count,ADD_S_lt_20_rate,throughput_cases_per_hour
baseline,9,500,59.65537534581157,64.99152833201751,23.63668563603725,16.692212445570476,14.391802036007256,12.222417207947752,115.1439159408491,130.44060592066216,52.25112162871804,38.691975300815265,36.299425170003786,23.333547532873563,0.15383281382827996,0.14352507792575803,0.08293009425324674,1.9662141433358193,1.9491156414151192,0.04693716014905992,20.191281732678412,20.309888150542974,7.979567547684975,22.159085497498513,22.289050199091434,7.981095432796931,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,23,0.046,131,0.262,344,0.688,162.46157813716616
ours,9,500,36.84163988874558,31.2501568140668,28.272022827573046,7.554166105241243,5.178083730974668,8.837235434744715,79.4816713279112,56.176167371395394,68.99689843931515,14.6233649060669,8.744405771115385,16.599208012106285,0.2898452819495608,0.31099461603853784,0.13389074556471048,2.9377816035449507,2.915964510291815,0.13777877136435,3.311408167168498,3.0990066826343536,1.1204523022647355,6.251058921650052,6.041324593126774,1.12795571580063,21.017650114382043,21.498368199213896,2.790250378871609,0.0,0.0,0.0,14,0.028,238,0.476,405,0.81,474,0.948,575.9024263123937
ours_no_pose_pipeline,9,500,47.434280440366216,60.07951693394345,28.437429977041255,12.130995395522941,8.946190537739987,12.52104988464586,94.37977194945141,114.09260638339371,63.01896056338687,26.16843411859984,18.589300241889624,23.901238903980445,0.20851742703315387,0.20799093227543214,0.11161577967552615,2.899098232239485,2.878055650740862,0.12402235590979191,2.5960651932507752,2.4035103023052216,0.9552669230639607,5.496720679879188,5.310697071254253,0.9726820401909311,21.017650114382043,21.498368199213896,2.790250378871609,0.0,0.0,0.0,0,0.0,96,0.192,278,0.556,419,0.838,654.935953572799
ours_no_robustvote,9,500,37.54790848437478,37.89015959461461,28.68398864561114,7.6519991411084,5.263978481595134,10.437272813621066,81.07187932039466,62.91539667052933,68.7830233046251,14.719813743499046,8.817128183933296,17.60295405654503,0.2887945593652593,0.31099461603853784,0.13287807537051946,2.884206746265292,2.871016561985016,0.11133314075230295,1.862122388675809,1.810653455555439,0.5434922133883285,4.74837878280878,4.690474901348352,0.5521161365637547,21.017650114382043,21.498368199213896,2.790250378871609,0.0,0.0,0.0,13,0.026,232,0.464,405,0.81,475,0.95,758.1535013663155
ours_no_rsmrq,9,500,40.92413719611092,55.816687325080935,28.92958766443874,8.85328049376208,5.8655910981910395,11.453265070896757,86.91293780581593,103.262859343545,67.45964173674402,17.742245478629236,11.278183111995663,19.454344188094986,0.2761467837914423,0.29300085009917826,0.12521722859242268,2.335691946044564,2.308387842029333,0.1520352922575525,1.626319642946124,1.6231674365699291,0.4038599434371926,3.963656260743737,3.9579543583095074,0.43819596841858416,1.0,1.0,0.0,0.0,0.0,0.0,14,0.028,194,0.388,376,0.752,465,0.93,908.2523213868448
baseline,10,500,79.43911934795624,86.95642877175705,34.721529884477675,19.465373375537965,14.343196115482666,14.631417516702951,112.1367130325493,123.96633145678399,56.78858576147304,38.18958232127295,28.756338615073076,29.213150889068064,0.10093131518697533,0.09304248282879674,0.06229879052025177,8.622974016278983,8.605934266000986,0.0952942492047645,137.25905519886314,145.51040110364556,41.68336042951045,145.88448648025096,154.24261732771993,41.68646722391581,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,33,0.066,132,0.264,350,0.7,24.67705845122434
ours,10,500,57.50541398955173,69.7856249770629,44.40029763508049,10.831609120910391,6.291924306273852,11.983013739228891,89.17544833661688,93.05161763728454,77.11345519774088,20.509935842940934,10.832972582648159,23.628075782615365,0.17058916306283387,0.16522513355380308,0.0861184407701196,14.747293430924415,14.716220378875732,0.40883402109095207,8.402916608288884,8.474089793860912,2.05068701391865,23.152832875654102,23.17931003496051,2.083624001644509,50.67494835192174,50.489452652089106,8.023971859644423,0.0,0.0,0.0,1,0.002,174,0.348,344,0.688,439,0.878,155.48853219536292
ours_no_pose_pipeline,10,500,67.97954086092057,80.30259196360649,39.6157999534289,15.568055417878266,11.594980854950187,13.117842841655943,98.73256243156438,114.21034921948254,66.11906706365922,30.560144504724867,22.206551095336817,26.403116958858135,0.12679801577206817,0.11072246247774103,0.07466451310342315,13.782662611693144,13.773245796561241,0.28617179478705174,7.37392218567431,7.45452244207263,1.8937068299351576,21.159025263369085,21.21416099369526,1.915412001334439,50.67494835192174,50.489452652089106,8.023971859644423,0.0,0.0,0.0,2,0.004,68,0.136,202,0.404,377,0.754,170.14016265826714
ours_no_robustvote,10,500,57.44051827819688,67.02649654671265,44.035288145588694,10.923498771400764,6.332771689968148,12.031785113938849,88.77682612964318,92.46606807417817,76.15012830208066,20.514821552552316,10.832972582647937,23.53492418217813,0.1701854489951666,0.16299923683541084,0.08623895219307204,15.50466152396798,15.469561271369457,0.43705972716862784,3.0319266758263113,3.053044281899929,0.6638822194066243,18.539308403626084,18.554438773542643,0.7501688094542729,50.67494835192174,50.489452652089106,8.023971859644423,0.0,0.0,0.0,2,0.004,174,0.348,338,0.676,435,0.87,194.18200083967963
ours_no_rsmrq,10,500,58.700441182360535,71.24670996457799,42.86038898203034,12.311960795405096,7.8353542712675885,12.918958133083278,88.82286124542581,95.14304091123321,72.50310870974049,23.16815399104329,13.50593499222282,25.629969287454113,0.16111142203001783,0.1541592470109387,0.08407683050094772,12.666806678801775,12.639332823455334,0.405254887284682,2.125623767092824,2.1275210566818714,0.42328772636690937,14.79509492379427,14.772931963205338,0.5247229088123303,1.0,1.0,0.0,0.0,0.0,0.0,1,0.002,141,0.282,299,0.598,432,0.864,243.32388663558257
